C.A.,año,tipo de cultivo,litros de agua
Castilla y León,2006,Herbáceos,1423380
Castilla y León,2006,Frutales,16074
Castilla y León,2006,Olivar y Viñedo,24747
Castilla y León,2006,Patatas y hortalizas,179864
Castilla y León,2006,Otros tipos de cultivos,505110
Castilla y León,2007,Herbáceos,1620959
Castilla y León,2007,Frutales,19471
Castilla y León,2007,Olivar y Viñedo,34773
Castilla y León,2007,Patatas y hortalizas,234603
Castilla y León,2007,Otros tipos de cultivos,294339
Castilla y León,2008,Herbáceos,1464612
Castilla y León,2008,Frutales,15184
Castilla y León,2008,Olivar y Viñedo,27450
Castilla y León,2008,Patatas y hortalizas,174725
Castilla y León,2008,Otros tipos de cultivos,334675
Castilla y León,2009,Herbáceos,1642184
Castilla y León,2009,Frutales,13350
Castilla y León,2009,Olivar y Viñedo,12751
Castilla y León,2009,Patatas y hortalizas,203008
Castilla y León,2009,Otros tipos de cultivos,298622
Castilla y León,2010,Herbáceos,1558088
Castilla y León,2010,Frutales,15741
Castilla y León,2010,Olivar y Viñedo,22079
Castilla y León,2010,Patatas y hortalizas,172052
Castilla y León,2010,Otros tipos de cultivos,354352
Castilla y León,2011,Herbáceos,1628693
Castilla y León,2011,Frutales,60221
Castilla y León,2011,Olivar y Viñedo,3936
Castilla y León,2011,Patatas y hortalizas,113023
Castilla y León,2011,Otros tipos de cultivos,209131
Castilla y León,2012,Herbáceos,1606979
Castilla y León,2012,Frutales,68812
Castilla y León,2012,Olivar y Viñedo,8096
Castilla y León,2012,Patatas y hortalizas,159888
Castilla y León,2012,Otros tipos de cultivos,180128
Castilla y León,2013,Herbáceos,1528204
Castilla y León,2013,Frutales,18837
Castilla y León,2013,Olivar y Viñedo,20862
Castilla y León,2013,Patatas y hortalizas,114659
Castilla y León,2013,Otros tipos de cultivos,120050
Castilla y León,2014,Herbáceos,1729847
Castilla y León,2014,Frutales,46354
Castilla y León,2014,Olivar y Viñedo,14749
Castilla y León,2014,Patatas y hortalizas,210780
Castilla y León,2014,Otros tipos de cultivos,105531
Castilla y León,2015,Herbáceos,1779361
Castilla y León,2015,Frutales,52722
Castilla y León,2015,Olivar y Viñedo,37345
Castilla y León,2015,Patatas y hortalizas,195510
Castilla y León,2015,Otros tipos de cultivos,111093
Castilla y León,2016,Herbáceos,1609188
Castilla y León,2016,Frutales,48215
Castilla y León,2016,Olivar y Viñedo,12054
Castilla y León,2016,Patatas y hortalizas,182817
Castilla y León,2016,Otros tipos de cultivos,156357
Castilla-La Mancha,2000,Herbáceos,1185585
Castilla-La Mancha,2000,Frutales,178137
Castilla-La Mancha,2000,Olivar y Viñedo,141000
Castilla-La Mancha,2000,Patatas y hortalizas,69262
Castilla-La Mancha,2000,Otros tipos de cultivos,230635
Castilla-La Mancha,2001,Herbáceos,841403
Castilla-La Mancha,2001,Frutales,180928
Castilla-La Mancha,2001,Olivar y Viñedo,133376
Castilla-La Mancha,2001,Patatas y hortalizas,241993
Castilla-La Mancha,2001,Otros tipos de cultivos,413418
Castilla-La Mancha,2002,Herbáceos,901163
Castilla-La Mancha,2002,Frutales,209806
Castilla-La Mancha,2002,Olivar y Viñedo,155650
Castilla-La Mancha,2002,Patatas y hortalizas,246012
Castilla-La Mancha,2002,Otros tipos de cultivos,392060
Castilla-La Mancha,2003,Herbáceos,903042
Castilla-La Mancha,2003,Frutales,208300
Castilla-La Mancha,2003,Olivar y Viñedo,127000
Castilla-La Mancha,2003,Patatas y hortalizas,259893
Castilla-La Mancha,2003,Otros tipos de cultivos,485286
Castilla-La Mancha,2004,Herbáceos,951264
Castilla-La Mancha,2004,Frutales,33736
Castilla-La Mancha,2004,Olivar y Viñedo,657461
Castilla-La Mancha,2004,Patatas y hortalizas,303184
Castilla-La Mancha,2004,Otros tipos de cultivos,110570
Castilla-La Mancha,2005,Herbáceos,918173
Castilla-La Mancha,2005,Frutales,50205
